bibcode,title,year,month,journal,volume,page,n_authors,n_colombian_authors,num_citations,keywords,doi,arxiv_id,url
2021MNRAS.500L..32P,Superclusters from velocity divergence fields,2021,1,Monthly Notices of the Royal Astronomical Society,500,L32,4,4,5,large-scale structure of Universe; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1093/mnrasl/slaa177,arXiv:2010.05160,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500L..32P
2021MNRAS.500.3329N,Thermal conduction effects on formation of chromospheric solar tadpole-like jets,2021,1,Monthly Notices of the Royal Astronomical Society,500,3329,4,2,5,MHD; Sun: atmosphere; Astrophysics - Solar and Stellar Astrophysics,10.1093/mnras/staa3402,arXiv:2011.02006,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.3329N
2021AN....342..388B,A test of the fermionic dark matter nature of the supermassive compact object at the center of our galaxy,2021,1,Astronomische Nachrichten,342,388,3,1,2,dark matter; elementary particles; galaxy center; orbital parameters,10.1002/asna.202113939,,https://ui.adsabs.harvard.edu/abs/2021AN....342..388B
2021JCAP...02..033A,The MESS of the CMB,2021,2,Journal of Cosmology and Astroparticle Physics,2021,033,3,3,10,Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/1475-7516/2021/02/033,arXiv:2006.03395,https://ui.adsabs.harvard.edu/abs/2021JCAP...02..033A
2021Ap&SS.366...25M,How to distinguish an actual astrophysical magnetized black hole mimicker from a true (theoretical) black hole,2021,3,Astrophysics and Space Science,366,25,3,1,1,X-ray binaries; Active galactic nuclei; Magnetic field; Black hole mimickers; Relativistic astrophysics; General Relativity and Quantum Cosmology; Astrophysics - Cosmology and Nongalactic Astrophysics; Astrophysics - High Energy Astrophysical Phenomena,10.1007/s10509-020-03913-3,arXiv:1908.06815,https://ui.adsabs.harvard.edu/abs/2021Ap&SS.366...25M
2021A&A...647A.152A,The Tully-Fisher relation in dense groups at z ∼ 0.7 in the MAGIC survey,2021,3,Astronomy and Astrophysics,647,A152,14,1,21,galaxies: evolution; galaxies: kinematics and dynamics; galaxies: groups: general; galaxies: high-redshift; Astrophysics - Astrophysics of Galaxies,10.1051/0004-6361/202038818,arXiv:2101.08069,https://ui.adsabs.harvard.edu/abs/2021A&A...647A.152A
2021A&A...647A..64F,APOGEE discovery of a chemically atypical star disrupted from NGC 6723 and captured by the Milky Way bulge,2021,3,Astronomy and Astrophysics,647,A64,29,1,26,stars: abundances; stars: chemically peculiar; globular clusters: individual: NGC 6723; techniques: spectroscopic; Astrophysics - Astrophysics of Galaxies,10.1051/0004-6361/202040255,arXiv:2102.01706,https://ui.adsabs.harvard.edu/abs/2021A&A...647A..64F
2021RMxAA..57...57G,Comparative Analysis of Sky Quality and Meteorological Variables During the Total Lunar Eclipse on 14-15 April 2014 and their Effect on Qualitative Measurements of the Bortle Scale,2021,4,Revista Mexicana de Astronomia y Astrofisica,57,57,2,2,0,atmospheric effects; eclipses; methods: observational; site testing; Astrophysics - Instrumentation and Methods for Astrophysics,10.22201/ia.01851101p.2021.57.01.03,arXiv:2009.08225,https://ui.adsabs.harvard.edu/abs/2021RMxAA..57...57G
2021NewA...8401503G,A novel early dark energy model,2021,4,New Astronomy,84,101503,3,3,7,Cosmology; Dark Energy; Numerical methods; Astrophysics - Cosmology and Nongalactic Astrophysics; General Relativity and Quantum Cosmology,10.1016/j.newast.2020.101503,arXiv:2009.07357,https://ui.adsabs.harvard.edu/abs/2021NewA...8401503G
2021GrCo...27..136R,Relativistic Origin of the Cutoff Parameter in Exotic Compact Objects,2021,4,Gravitation and Cosmology,27,136,2,2,2,General Relativity and Quantum Cosmology,10.1134/S0202289321020122,arXiv:2012.08322,https://ui.adsabs.harvard.edu/abs/2021GrCo...27..136R
2021ApJ...911...91C,Assessing the Stellar Population and the Environment of an H II Region on the Far Side of the Galaxy,2021,4,The Astrophysical Journal,911,91,18,1,1,Star clusters; Open star clusters; Young massive clusters; Young stellar objects; 1567; 1160; 2049; 1834; Astrophysics - Astrophysics of Galaxies; Astrophysics - Solar and Stellar Astrophysics,10.3847/1538-4357/abec6f,arXiv:2103.05849,https://ui.adsabs.harvard.edu/abs/2021ApJ...911...91C
2021A&A...648A..18M,Infrared photometry and CaT spectroscopy of globular cluster M 28 (NGC 6626),2021,4,Astronomy and Astrophysics,648,A18,15,1,6,Galaxy: bulge; globular clusters: individual: M28; globular clusters: general; Astrophysics - Astrophysics of Galaxies; Astrophysics - Solar and Stellar Astrophysics,10.1051/0004-6361/202039192,arXiv:2103.14806,https://ui.adsabs.harvard.edu/abs/2021A&A...648A..18M
2021JCAP...05..064C,Cosmological constraints with the Effective Fluid approach for Modified Gravity,2021,5,Journal of Cosmology and Astroparticle Physics,2021,064,4,2,12,cosmological parameters from CMBR; modified gravity; neutrino masses from cosmology; Astrophysics - Cosmology and Nongalactic Astrophysics; General Relativity and Quantum Cosmology,10.1088/1475-7516/2021/05/064,arXiv:2012.05282,https://ui.adsabs.harvard.edu/abs/2021JCAP...05..064C
2021ApJ...913....2W,Cosmic Velocity Field Reconstruction Using AI,2021,5,The Astrophysical Journal,913,2,10,1,25,Large-scale structure of the universe; Cosmic web; Dark matter distribution; Cosmology; Astrostatistics; 902; 330; 356; 343; 1882; Astrophysics - Cosmology and Nongalactic Astrophysics; General Relativity and Quantum Cosmology,10.3847/1538-4357/abf3bb,arXiv:2105.09450,https://ui.adsabs.harvard.edu/abs/2021ApJ...913....2W
2021MNRAS.505L..64B,Hinting a dark matter nature of Sgr A* via the S-stars,2021,7,Monthly Notices of the Royal Astronomical Society,505,L64,5,1,69,Elementary particles; Dark matter; Astrophysics - Astrophysics of Galaxies; Astrophysics - High Energy Astrophysical Phenomena,10.1093/mnrasl/slab051,arXiv:2105.06301,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505L..64B
2021MNRAS.505.1105E,A novel bivariate autoregressive model for predicting and forecasting irregularly observed time series,2021,7,Monthly Notices of the Royal Astronomical Society,505,1105,4,1,8,methods: data analysis; methods: statistical; stars: variables: general; galaxies: general; Astrophysics - Instrumentation and Methods for Astrophysics; Statistics - Methodology,10.1093/mnras/stab1216,arXiv:2104.12248,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.1105E
2021JCAP...07..032C,GW190521 formation scenarios via relativistic accretion,2021,7,Journal of Cosmology and Astroparticle Physics,2021,032,3,1,18,accretion; astrophysical black holes; hydrodynamical simulations; primordial black holes; Astrophysics - High Energy Astrophysical Phenomena; General Relativity and Quantum Cosmology,10.1088/1475-7516/2021/07/032,arXiv:2101.01705,https://ui.adsabs.harvard.edu/abs/2021JCAP...07..032C
2021MNRAS.505.5567V,Red Be stars in the Magellanic Clouds?,2021,8,Monthly Notices of the Royal Astronomical Society,505,5567,5,3,3,parallaxes; proper motion; stars: emission-line; Be; Magellanic Clouds; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/stab1481,arXiv:2002.11606,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.5567V
2021MNRAS.505.4278P,Magneto-rotational instability in magnetically polarized discs,2021,8,Monthly Notices of the Royal Astronomical Society,505,4278,5,2,5,accretion; accretion discs; instabilities; magnetic fields; (magnetohydrodynamics) MHD; Astrophysics - High Energy Astrophysical Phenomena; General Relativity and Quantum Cosmology,10.1093/mnras/stab1520,arXiv:2105.11329,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4278P
